Movimento 3 (w) pegou comida
Movimento 4 (w) pegou comida
Movimento 597 (d) colidiu na parede
Movimento 598 (d) colidiu na parede
Movimento 602 (w) colidiu na parede
Movimento 603 (a) colidiu na parede
Movimento 605 (d) colidiu na parede
Movimento 607 (s) colidiu na parede
Movimento 612 (a) colidiu na parede
Movimento 615 (w) colidiu na parede
Movimento 622 (d) pegou comida
Movimento 623 (w) colidiu na parede
Movimento 626 (s) colidiu na parede
Movimento 628 (s) colidiu na parede
Movimento 629 (s) colidiu na parede
Movimento 636 (w) colidiu na parede
Movimento 637 (w) colidiu na parede
Movimento 639 (w) colidiu na parede
Movimento 646 (w) colidiu na parede
Movimento 647 (s) colidiu na parede
Movimento 649 (s) colidiu na parede
Movimento 654 (w) pegou comida
Movimento 656 (d) pegou comida
Movimento 657 (w) colidiu na parede
Movimento 659 (s) colidiu na parede
Movimento 662 (d) pegou comida
Movimento 663 (w) colidiu na parede
Movimento 665 (w) colidiu na parede
Movimento 667 (s) colidiu na parede
Movimento 669 (s) colidiu na parede
Movimento 670 (w) colidiu na parede
Movimento 671 (w) colidiu na parede
Movimento 673 (w) colidiu na parede
Movimento 674 (s) colidiu na parede
Movimento 675 (s) colidiu na parede
Movimento 677 (s) colidiu na parede
Movimento 680 (a) colidiu na parede
Movimento 682 (a) colidiu na parede
Movimento 683 (d) pegou comida
Movimento 686 (a) colidiu na parede
Movimento 688 (s) pegou comida
Movimento 691 (s) colidiu na parede
Movimento 693 (s) colidiu na parede
Movimento 694 (s) colidiu na parede
Movimento 698 (a) colidiu na parede
Movimento 701 (a) colidiu na parede
Movimento 711 (w) colidiu na parede
Movimento 718 (a) colidiu na parede
Movimento 720 (d) colidiu na parede
Movimento 721 (a) colidiu na parede
Movimento 723 (a) colidiu na parede
Movimento 725 (d) colidiu na parede
Movimento 726 (a) colidiu na parede
Movimento 727 (d) colidiu na parede
Movimento 728 (w) pegou comida
Movimento 729 (w) colidiu na parede
Movimento 730 (w) colidiu na parede
Movimento 731 (w) colidiu na parede
Movimento 733 (s) colidiu na parede
Movimento 739 (a) colidiu na parede
Movimento 741 (a) colidiu na parede
Movimento 742 (a) colidiu na parede
Movimento 744 (w) colidiu na parede
Movimento 746 (s) colidiu na parede
Movimento 749 (s) colidiu na parede
Movimento 752 (s) colidiu na parede
Movimento 754 (w) colidiu na parede
Movimento 759 (w) colidiu na parede
Movimento 760 (a) pegou comida
Movimento 762 (w) colidiu na parede
Movimento 764 (s) colidiu na parede
Movimento 765 (w) colidiu na parede
Movimento 766 (s) colidiu na parede
Movimento 767 (w) colidiu na parede
Movimento 769 (w) colidiu na parede
Movimento 772 (s) colidiu na parede
Movimento 773 (w) colidiu na parede
Movimento 782 (a) colidiu na parede
Movimento 783 (w) pegou comida
Movimento 784 (d) colidiu na parede
Movimento 786 (a) colidiu na parede
Movimento 788 (d) colidiu na parede
Movimento 790 (a) colidiu na parede
Movimento 792 (d) colidiu na parede
Movimento 795 (a) colidiu na parede
Movimento 798 (a) colidiu na parede
Movimento 802 (a) colidiu na parede
Movimento 806 (a) colidiu na parede
Movimento 817 (a) colidiu na parede
Movimento 818 (a) colidiu na parede
Movimento 822 (a) colidiu na parede
Movimento 831 (w) colidiu na parede
Movimento 834 (a) colidiu na parede
Movimento 837 (a) pegou comida
Movimento 839 (w) pegou comida
Movimento 844 (d) colidiu na parede
Movimento 845 (d) colidiu na parede
Movimento 847 (s) colidiu na parede
Movimento 848 (d) pegou comida
Movimento 853 (s) colidiu na parede
Movimento 854 (w) colidiu na parede
Movimento 857 (w) colidiu na parede
Movimento 858 (w) colidiu na parede
Movimento 859 (w) colidiu na parede
Movimento 861 (s) colidiu na parede
Movimento 865 (w) pegou comida
Movimento 868 (d) colidiu na parede
Movimento 869 (d) colidiu na parede
Movimento 876 (d) colidiu na parede
Movimento 877 (w) colidiu na parede
Movimento 882 (w) pegou comida
Movimento 888 (a) colidiu na parede
Movimento 893 (w) pegou comida
Movimento 894 (d) pegou comida
Movimento 895 (s) colidiu na parede
Movimento 896 (s) colidiu na parede
Movimento 899 (d) colidiu na parede
Movimento 903 (s) colidiu na parede
Movimento 905 (w) colidiu na parede
Movimento 916 (w) colidiu na parede
Movimento 918 (s) colidiu na parede
Movimento 924 (d) colidiu na parede
Movimento 929 (s) colidiu na parede
Movimento 931 (w) colidiu na parede
Movimento 932 (w) colidiu na parede
Movimento 935 (w) colidiu na parede
Movimento 937 (d) colidiu na parede
Movimento 938 (d) colidiu na parede
Movimento 941 (w) colidiu na parede
Movimento 946 (d) colidiu na parede
Movimento 951 (d) colidiu na parede
Movimento 952 (s) pegou comida
Movimento 953 (a) colidiu na parede
Movimento 954 (a) colidiu na parede
Movimento 955 (a) colidiu na parede
Movimento 958 (d) colidiu na parede
Movimento 959 (d) colidiu na parede
Movimento 960 (a) colidiu na parede
Movimento 962 (a) colidiu na parede
Movimento 965 (a) colidiu na parede
Movimento 969 (s) colidiu na parede
Movimento 970 (s) colidiu na parede
Movimento 971 (s) colidiu na parede
Movimento 976 (w) colidiu na parede
Movimento 987 (w) colidiu na parede
Movimento 994 (d) pegou comida
Movimento 996 (w) colidiu na parede
Movimento 999 (w) colidiu na parede
Movimento 1000 (s) pegou comida
Movimento 1010 (s) colidiu na parede
Movimento 1011 (s) colidiu na parede
Movimento 1014 (s) colidiu na parede
Movimento 1016 (s) colidiu na parede
Movimento 1018 (s) colidiu na parede
Movimento 1028 (w) colidiu na parede
Movimento 1031 (s) colidiu na parede
Movimento 1032 (s) colidiu na parede
Movimento 1033 (s) colidiu na parede
Movimento 1035 (w) colidiu na parede
Movimento 1037 (s) colidiu na parede
Movimento 1038 (s) colidiu na parede
Movimento 1040 (s) colidiu na parede
Movimento 1043 (s) colidiu na parede
Movimento 1046 (a) colidiu na parede
Movimento 1047 (a) colidiu na parede
Movimento 1048 (a) colidiu na parede
Movimento 1051 (d) colidiu na parede
Movimento 1053 (d) colidiu na parede
Movimento 1057 (s) colidiu na parede
Movimento 1062 (a) colidiu na parede
Movimento 1065 (d) colidiu na parede
Movimento 1072 (a) colidiu na parede
Movimento 1075 (d) colidiu na parede
Movimento 1079 (w) colidiu na parede
Movimento 1080 (s) colidiu na parede
Movimento 1083 (d) colidiu na parede
Movimento 1084 (d) colidiu na parede
Movimento 1086 (d) colidiu na parede
Movimento 1093 (d) colidiu na parede
Movimento 1094 (d) colidiu na parede
Movimento 1099 (s) colidiu na parede
Movimento 1100 (d) colidiu na parede
Movimento 1103 (w) colidiu na parede
Movimento 1109 (a) pegou comida
Movimento 1114 (d) colidiu na parede
Movimento 1115 (d) colidiu na parede
Movimento 1123 (d) colidiu na parede
Movimento 1124 (d) colidiu na parede
Movimento 1126 (a) colidiu na parede
Movimento 1132 (a) colidiu na parede
Movimento 1141 (d) colidiu na parede
Movimento 1143 (a) colidiu na parede
Movimento 1146 (a) colidiu na parede
Movimento 1151 (d) colidiu na parede
Movimento 1152 (d) colidiu na parede
Movimento 1155 (a) colidiu na parede
Movimento 1156 (d) colidiu na parede
Movimento 1159 (a) colidiu na parede
Movimento 1160 (d) colidiu na parede
Movimento 1161 (a) colidiu na parede
Movimento 1162 (d) colidiu na parede
Movimento 1163 (d) colidiu na parede
Movimento 1164 (d) colidiu na parede
Movimento 1168 (d) colidiu na parede
Movimento 1170 (a) colidiu na parede
Movimento 1175 (d) pegou comida
Movimento 1185 (w) colidiu na parede
Movimento 1189 (d) colidiu na parede
Movimento 1191 (d) colidiu na parede
Movimento 1199 (s) colidiu na parede
Movimento 1209 (s) colidiu na parede
Movimento 1212 (s) colidiu na parede
Movimento 1218 (s) colidiu na parede
Movimento 1225 (s) colidiu na parede
Movimento 1228 (w) colidiu na parede
Movimento 1232 (d) colidiu na parede
Movimento 1234 (a) colidiu na parede
Movimento 1237 (a) colidiu na parede
Movimento 1239 (d) colidiu na parede
Movimento 1246 (d) colidiu na parede
Movimento 1247 (d) colidiu na parede
Movimento 1248 (d) colidiu na parede
Movimento 1249 (s) colidiu na parede
Movimento 1250 (s) colidiu na parede
Movimento 1253 (w) colidiu na parede
Movimento 1264 (d) colidiu na parede
Movimento 1272 (d) colidiu na parede
Movimento 1273 (a) colidiu na parede
Movimento 1277 (a) colidiu na parede
Movimento 1279 (d) colidiu na parede
Movimento 1280 (d) colidiu na parede
Movimento 1281 (a) colidiu na parede
Movimento 1282 (a) colidiu na parede
Movimento 1283 (a) colidiu na parede
Movimento 1284 (a) colidiu na parede
Movimento 1287 (s) colidiu na parede
Movimento 1288 (w) colidiu na parede
Movimento 1289 (w) colidiu na parede
Movimento 1291 (a) colidiu na parede
Movimento 1293 (d) colidiu na parede
Movimento 1312 (a) colidiu na parede
Movimento 1323 (w) colidiu na parede
Movimento 1334 (s) colidiu na parede
Movimento 1335 (s) colidiu na parede
Movimento 1337 (a) colidiu na parede
Movimento 1339 (s) colidiu na parede
Movimento 1345 (a) colidiu na parede
Movimento 1350 (s) colidiu na parede
Movimento 1351 (s) colidiu na parede
Movimento 1352 (s) colidiu na parede
Movimento 1357 (d) colidiu na parede
Movimento 1366 (a) colidiu na parede
Movimento 1385 (w) colidiu na parede
Movimento 1386 (s) colidiu na parede
Movimento 1387 (w) colidiu na parede
Movimento 1388 (w) colidiu na parede
Movimento 1389 (s) colidiu na parede
Movimento 1401 (a) colidiu na parede
Movimento 1402 (a) colidiu na parede
Movimento 1403 (a) colidiu na parede
Movimento 1411 (a) colidiu na parede
Movimento 1412 (a) colidiu na parede
Movimento 1414 (a) colidiu na parede
Movimento 1415 (a) colidiu na parede
Movimento 1416 (a) colidiu na parede
Movimento 1417 (a) colidiu na parede
Movimento 1418 (a) colidiu na parede
Movimento 1429 (a) colidiu na parede
Movimento 1432 (w) colidiu na parede
Movimento 1433 (d) colidiu na parede
Movimento 1434 (w) colidiu na parede
Movimento 1443 (s) colidiu na parede
Movimento 1448 (w) colidiu na parede
Movimento 1449 (w) colidiu na parede
Movimento 1457 (w) colidiu na parede
Movimento 1465 (a) colidiu na parede
Movimento 1468 (a) colidiu na parede
Movimento 1469 (a) colidiu na parede
Movimento 1471 (a) colidiu na parede
Movimento 1475 (d) colidiu na parede
Movimento 1476 (a) colidiu na parede
Movimento 1479 (d) colidiu na parede
Movimento 1480 (a) colidiu na parede
Movimento 1482 (a) colidiu na parede
Movimento 1484 (d) colidiu na parede
Movimento 1487 (d) colidiu na parede
Movimento 1489 (a) colidiu na parede
Movimento 1490 (a) colidiu na parede
Movimento 1491 (a) colidiu na parede
Movimento 1495 (s) colidiu na parede
Movimento 1498 (d) colidiu na parede
Movimento 1500 (d) colidiu na parede
Movimento 1502 (d) colidiu na parede
Movimento 1503 (a) colidiu na parede
Movimento 1504 (d) colidiu na parede
Movimento 1507 (a) colidiu na parede
Movimento 1510 (d) colidiu na parede
Movimento 1511 (a) colidiu na parede
Movimento 1514 (d) colidiu na parede
Movimento 1515 (d) colidiu na parede
Movimento 1517 (d) colidiu na parede
Movimento 1518 (d) colidiu na parede
Movimento 1520 (d) colidiu na parede
Movimento 1523 (s) colidiu na parede
Movimento 1526 (s) colidiu na parede
Movimento 1527 (w) colidiu na parede
Movimento 1531 (d) colidiu na parede
Movimento 1532 (a) pegou comida
Movimento 1533 (s) colidiu na parede
Movimento 1534 (s) colidiu na parede
Movimento 1535 (w) pegou comida
Movimento 1536 (w) colidiu na parede
Movimento 1539 (d) colidiu na parede
Movimento 1546 (w) colidiu na parede
Movimento 1549 (a) colidiu na parede
Movimento 1552 (a) colidiu na parede
Movimento 1582 (s) colidiu na parede
Movimento 1587 (w) colidiu na parede
Movimento 1603 (d) colidiu na parede
Movimento 1604 (d) colidiu na parede
Movimento 1622 (w) colidiu na parede
Movimento 1633 (w) colidiu na parede
Movimento 1635 (w) colidiu na parede
Movimento 1645 (w) colidiu na parede
Movimento 1648 (s) colidiu na parede
Movimento 1649 (s) colidiu na parede
Movimento 1652 (d) colidiu na parede
Movimento 1653 (d) colidiu na parede
Movimento 1663 (s) colidiu na parede
Movimento 1664 (w) colidiu na parede
Movimento 1666 (s) colidiu na parede
Movimento 1667 (w) colidiu na parede
Movimento 1670 (a) colidiu na parede
Movimento 1671 (a) colidiu na parede
Movimento 1672 (a) colidiu na parede
Movimento 1679 (d) colidiu na parede
Movimento 1682 (a) colidiu na parede
Movimento 1683 (a) colidiu na parede
Movimento 1684 (a) colidiu na parede
Movimento 1685 (a) colidiu na parede
Movimento 1686 (a) colidiu na parede
Movimento 1687 (s) colidiu na parede
Movimento 1688 (a) colidiu na parede
Movimento 1690 (d) colidiu na parede
Movimento 1692 (a) colidiu na parede
Movimento 1695 (w) colidiu na parede
Movimento 1698 (a) colidiu na parede
Movimento 1701 (d) colidiu na parede
Movimento 1704 (a) colidiu na parede
Movimento 1711 (a) colidiu na parede
Movimento 1712 (a) colidiu na parede
Movimento 1720 (w) colidiu na parede
Movimento 1721 (w) colidiu na parede
Movimento 1723 (w) colidiu na parede
Movimento 1738 (a) colidiu na parede
Movimento 1739 (a) colidiu na parede
Movimento 1740 (a) colidiu na parede
Movimento 1743 (w) colidiu na parede
Movimento 1750 (w) colidiu na parede
Movimento 1757 (w) colidiu na parede
Movimento 1767 (a) colidiu na parede
Movimento 1781 (d) colidiu na parede
Movimento 1782 (d) colidiu na parede
Movimento 1798 (w) colidiu na parede
Movimento 1800 (w) colidiu na parede
Movimento 1801 (w) colidiu na parede
Movimento 1804 (w) colidiu na parede
Movimento 1807 (w) colidiu na parede
Movimento 1808 (w) colidiu na parede
Movimento 1830 (d) colidiu na parede
Movimento 1834 (w) colidiu na parede
Movimento 1837 (a) colidiu na parede
Movimento 1838 (w) colidiu na parede
Movimento 1839 (a) colidiu na parede
Movimento 1840 (a) colidiu na parede
Movimento 1841 (a) colidiu na parede
Movimento 1842 (a) colidiu na parede
Movimento 1851 (a) colidiu na parede
Movimento 1854 (a) colidiu na parede
Movimento 1856 (a) colidiu na parede
Movimento 1857 (a) colidiu na parede
Movimento 1860 (w) colidiu na parede
Movimento 1863 (w) colidiu na parede
Movimento 1865 (w) pegou comida
Movimento 1866 (a) colidiu na parede
Movimento 1867 (d) colidiu na parede
Movimento 1868 (a) colidiu na parede
Movimento 1870 (d) colidiu na parede
Movimento 1871 (d) colidiu na parede
Movimento 1872 (d) colidiu na parede
Movimento 1874 (a) colidiu na parede
Movimento 1875 (a) colidiu na parede
Movimento 1876 (a) colidiu na parede
Movimento 1877 (a) colidiu na parede
Movimento 1878 (d) colidiu na parede
Movimento 1879 (a) colidiu na parede
Movimento 1880 (d) colidiu na parede
Movimento 1889 (a) colidiu na parede
Movimento 1892 (a) colidiu na parede
Movimento 1897 (s) colidiu na parede
Movimento 1898 (s) colidiu na parede
Movimento 1899 (s) colidiu na parede
Movimento 1902 (w) colidiu na parede
Movimento 1906 (w) colidiu na parede
Movimento 1907 (w) colidiu na parede
Movimento 1911 (a) colidiu na parede
Movimento 1913 (a) colidiu na parede
Movimento 1916 (w) colidiu na parede
Movimento 1917 (w) colidiu na parede
Movimento 1920 (w) colidiu na parede
Movimento 1921 (w) colidiu na parede
Movimento 1926 (a) colidiu na parede
Movimento 1927 (w) colidiu na parede
Movimento 1928 (a) colidiu na parede
Movimento 1931 (a) colidiu na parede
Movimento 1933 (d) colidiu na parede
Movimento 1935 (d) colidiu na parede
Movimento 1939 (d) colidiu na parede
Movimento 1947 (a) colidiu na parede
Movimento 1951 (a) colidiu na parede
Movimento 1956 (a) colidiu na parede
Movimento 1958 (d) colidiu na parede
Movimento 1959 (d) colidiu na parede
Movimento 1960 (d) colidiu na parede
Movimento 1961 (d) colidiu na parede
Movimento 1964 (d) colidiu na parede
Movimento 1967 (a) colidiu na parede
Movimento 1968 (d) colidiu na parede
Movimento 1974 (a) colidiu na parede
Movimento 1981 (s) colidiu na parede
Movimento 1982 (s) colidiu na parede
Movimento 1985 (s) colidiu na parede
Movimento 1986 (d) colidiu na parede
Movimento 1991 (w) colidiu na parede
Movimento 1992 (w) colidiu na parede
Movimento 1994 (w) colidiu na parede
Movimento 1995 (w) colidiu na parede
Movimento 1996 (w) colidiu na parede
Movimento 1998 (w) colidiu na parede
Movimento 2003 (s) colidiu na parede
Movimento 2006 (s) colidiu na parede
Movimento 2008 (a) colidiu na parede
Movimento 2010 (d) colidiu na parede
Movimento 2011 (a) colidiu na parede
Movimento 2012 (d) colidiu na parede
Movimento 2013 (d) colidiu na parede
Movimento 2014 (a) colidiu na parede
Movimento 2015 (d) colidiu na parede
Movimento 2016 (a) colidiu na parede
Movimento 2018 (a) colidiu na parede
Movimento 2020 (d) colidiu na parede
Movimento 2021 (d) colidiu na parede
Movimento 2023 (a) colidiu na parede
Movimento 2025 (d) colidiu na parede
Movimento 2026 (d) colidiu na parede
Movimento 2028 (a) colidiu na parede
Movimento 2030 (d) pegou comida
Movimento 2036 (d) colidiu na parede
Movimento 2037 (d) colidiu na parede
Movimento 2038 (d) colidiu na parede
Movimento 2042 (a) colidiu na parede
Movimento 2047 (s) colidiu na parede
Movimento 2048 (s) colidiu na parede
Movimento 2073 (d) colidiu na parede
Movimento 2074 (a) colidiu na parede
Movimento 2075 (d) colidiu na parede
Movimento 2081 (d) fim de jogo por encostar em um fantasma
